狮头鹅养殖用药流程表,,
    预防用药程序参考，根据季节和地区适当的做变动,,
日龄,预防疾病,用药
1日龄,3%葡萄糖或者3%红糖水 +电解多维  饮水饮水，增强抵抗力，补充水分，减少应激,
2日龄,小鹅瘟高免血清或高免蛋黄抗体,第一针：小鹅瘟抗体每只打1.2毫升
2-5日龄,雏鹅沙门氏菌，大肠杆菌等引起的雏鹅脐炎，脐孔愈合不良，心包积液，腹水，肝周炎。可促进卵黄吸收，抗应激，防治营养不良，脱水和发育不完整等。提高成活率，促进生长发育。（开口药） 预防腺胃炎肌胃炎，增强食欲，促进卵黄吸收，提高抗病能力。,开口药连喂4天（观察弱苗挑出单独饲喂）
"5日龄开始控料,控到15日龄.控料方法，加青饲料、不用豆饼等蛋白饲料、晚上12：00以后停掉饲料或者全喂青草或者玉米面（刚开始可以一半饲料一半玉米面，逐渐减至全是玉米面就可以）",,
,,
6日龄,"6日龄晚上做小鹅瘟防疫（做完防疫温度加一度)
6-8日龄白天饮多维防止应激。
","第二针：痛风+呼肠孤+小鹅瘟疫苗+浆膜炎每只打1毫升,做完疫苗后观察棚内湿度,保持60%以下,小鹅以不扎堆为准,湿度超过60%需要边通风边升温(通风不要直吹)."
7-8日龄,保肝护肾（开始换料，提早用青草，从5日龄开始控料直到15日龄）,"     痛清 每天2瓶，用两天，共4瓶，第7天上午集中2小时用(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完)， 晚上10点以后使用千分之三小苏打通肝肾，加低蛋白的青草或者菜叶"
,,
9-10日龄,预防呼肠孤病毒,"呼肠清 上午用，每天1瓶，连用两天，共2瓶 集中俩小时饮水(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完)                        "
12日龄,"这个阶段常见痛风、浆膜炎主要预防传染性浆膜炎、大肠杆菌丶鸭肝等细菌性疾病、预防肠杆菌和浆膜炎等细菌病发生并且缓解疫苗应激、促进抗体形成
晚上12点以后使用千分之三小苏打通肝肾","亿消2号+鸭乐2号每天半袋，连用两天，共1包，上午集中2-3小时饮用(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完) "
,,
13日龄,,
,,
14日龄,,
16日龄,预防病毒性感冒流感，以防引起其他病毒性疾病," 增强素，每天各1包，共2包上午集中3小时饮用                   浆速，每天各1包，共2包上午集中3小时饮用(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完) 16日龄开始无需控料,正常喂料就可以"
17日龄,,
18日龄,预防痛风,"此时小鹅容易出现拉稀的情况(黄白便水便黑便等),可根据情况投喂畅清,如果粪便正常不需要喂,晚上使用千分之三小苏打通肝肾"
19日龄,,
20日龄,预防流感副黏病毒 当地打针,"第三针：副粘+禽流感H9+安卡拉（三联苗）每只打1毫升,做完疫苗水中加多维缓解应激"
21日龄,"预防痛风,感冒","小鹅放牧易出现感冒情况,观察一下大群是否出现甩头流涕咳嗽的情况,如果有的话可以喂亿消2号,没有的话就不用喂,晚上使用千分之三小苏打通肝肾"
22日龄,                               此阶段主要是预防小鹅咳嗽呼噜感冒,"呼畅每天1瓶，连喂2天，下午集中3小时内饮用(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完) "
23日龄,,
26-27日龄,重点预防肠炎，大杆高峰期,"肠速清 一天用1包，连用两天。共2包，上午集中3小时饮用(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完) "
,抗病毒,增强素每天1袋，连用2天，共2袋
29-30日龄,抗病毒，流感感冒副黏病毒黄病毒,"亿消2号每天1袋，连用2天，共2袋,(喂之前大群控水半小时左右,然后准备2小时水量,集中2-3小时内饮完) "
,,
,,
,,
,,
,,
,,
,,
,,
